season,episode_general,episode_season,pitch,Sequence,Badidea,OpenInvestment,OpenEquity,OpenValue,Offer,OfSharksWhoBid,OfSharksWhoWon,SharksBidding,SharksWinning,RefusedSharks,RefusedInvestment,RefusedEquity,InvestOffered,EquityOffered,ValueOffered,offertoopen,AcceptedInvestment,AcceptedEquity,AcceptedValue,Finaltoopen,Accepted,Offeredandrejected,Licensing,Business,Duration,CurrentSales,CumulativeSales,ProjectedSales,PatentStatus,BulkOrders,TeamSize,Education,PastExperience,TimeDevoted,Endorsement,MoreThan1SharkBid,PatentStatus_v2,female,mixed_team,OpenInvestment_mio,OpenValue_mio,RefusedInvestment_mio,InvestOffered_mio,CurrentSales_mio,CumulativeSales_mio,ProjectedSales_mio,ValueOffered_mio,AcceptedInvestment_mio,AcceptedValue_mio,equity_diff,patent1,patent2,patent3,best_offertoopen,best_accepted_equity,best_accepted_value,best_accepted_value_mio,best_accepted_invest
1,5,5,21,1,0,180000,0.2,900000,1,2,2,Barbara & Kevin H,Barbara & Kevin H,,,,180000,0.5,360000,0.4,180000,0.5,360000,0.4,1,0,0,Fitness product,,,,,Patent obtained,0,1,0,1,1,0,1,1,0,0,0.18000001,0.89999998,,0.18000001,,,,0.36000001,0.18000001,0.36000001,0.30000001,0,0,1,0.40000001,0.5,360000,0.36000001,0.18000001
1,5,5,22,2,0,50000,0.3,166666.6667,0,0,0,,,,,,,,,,,,,,0,0,0,Fashionable surgical mask,,,,,No patent effort,0,1,0,0,0,0,0,0,1,0,0.050000001,0.16666667,,,,,,,,,,1,0,0,,,,,
1,5,5,23,3,0,175000,0.25,700000,0,0,0,,,,,,,,,,,,,,0,0,0,Energy bars for diabetics,6,,,,No patent effort,0,1,0,1,0,0,0,0,0,0,0.175,0.69999999,,,,,,,,,,1,0,0,,,,,
1,5,5,24,4,0,50000,0.25,200000,0,0,0,,,,,,,,,,,,,,0,0,0,Funeral service,12,,,,No patent effort,0,1,0,0,0,0,0,0,1,0,0.050000001,0.2,,,,,,,,,,1,0,0,,,,,
1,5,5,25,5,0,80000,0.2,400000,1,3,2,"Kevin O & Robert , Daymond","Kevin O, Robert",Daymond,120000,0.5,120000,0.51,235294,0.588235,80000,0.51,156862.7451,0.392156863,1,0,0,Psycho therapy software,,,,,No patent effort,0,2,0,0,0,0,1,0,0,0,0.079999998,0.40000001,0.12,0.12,,,,0.235294,0.079999998,0.15686275,0.31,1,0,0,0.39215687,0.50999999,156862.75,0.15686275,0.079999998
1,6,6,26,1,0,150000,0.15,1000000,1,2,1,"Daymond, Kevin H",Kevin H,Daymond,150000,0.75,150000,0.75,200000,0.2,150000,0.3,500000,0.5,1,0,1,Customized energy bars,,50000,,,No patent effort,,1,0,0,0,0,1,0,0,0,0.15000001,1,0.15000001,0.15000001,0.050000001,,,0.2,0.15000001,0.5,0.15000001,1,0,0,0.5,0.30000001,500000,0.5,0.15000001
1,6,6,27,2,0,150000,0.25,600000,0,0,0,,,,,,,,,,,,,,0,0,0,Fizz-ice cream and soda toy,,,,,No patent effort,,1,0,0,0,0,0,0,0,0,0.15000001,0.60000002,,,,,,,,,,1,0,0,,,,,
1,6,6,28,3,0,55000,0.25,220000,0,0,0,,,,,,,,,,,,,,0,0,0,Underease underwear,,,,,No patent effort,,2,0,0,0,0,0,0,0,1,0.055,0.22,,,,,,,,,,1,0,0,,,,,
1,6,6,29,4,0,125000,0.25,500000,0,0,0,,,,,,,,,,,,,,0,0,0,Athletic bras,,,,,No patent effort,,1,0,0,0,0,0,0,1,0,0.125,0.5,,,,,,,,,,1,0,0,,,,,
1,6,6,30,5,0,50000,0.1,500000,1,1,1,Barbara,Barbara,,,,50000,0.5,100000,0.2,50000,0.5,100000,0.2,1,0,0,BBQ sauce ,,,,,No patent effort,,2,0,0,0,0,0,0,0,0,0.050000001,0.5,,0.050000001,,,,0.1,0.050000001,0.1,0.40000001,1,0,0,0.2,0.5,100000,0.1,0.050000001
1,7,7,31,1,0,50000,0.25,200000,1,4,1,"Kevin O, Kevin H &  Daymond, Robert",Robert,Kevin H & Daymond,50000,0.5,50000,0.5,100000,0.5,50000,0.25,200000,1,1,0,0,Grill charms,18,60000,,,No patent effort,,1,0,0,1,0,1,0,1,0,0.050000001,0.2,0.050000001,0.050000001,0.059999999,,,0.1,0.050000001,0.2,0,1,0,0,1,0.25,200000,0.2,0.050000001
1,7,7,32,2,0,300000,0.2,1500000,0,0,0,,,,,,,,,,,,,,0,0,0,Fun house,,,,9400000,No patent effort,,2,0,0,0,0,0,0,0,0,0.30000001,1.5,,,,,9.3999996,,,,,1,0,0,,,,,
1,7,7,33,3,1,700000,0.7,1000000,0,0,0,,,,,,,,,,,,,,0,0,0,Fitness DVD,,15000,,,No patent effort,,2,0,0,0,0,0,0,1,0,0.69999999,1,,,0.015,,,,,,,1,0,0,,,,,
1,7,7,34,4,0,125000,0.25,500000,1,3,3,Kevin O & Daymond & Robert,Kevin O & Daymond & Robert,,,,300000,0.51,588235,1.17647,300000,0.51,588235.2941,1.176470588,1,0,0,Soy dough-modeling clay,,,,,Patent obtained,0,1,2,0,0,0,1,1,0,0,0.125,0.5,,0.30000001,,,,0.58823502,0.30000001,0.58823532,0.25999999,0,0,1,1.1764706,0.50999999,588235.31,0.58823532,0.30000001
1,8,8,35,1,0,90000,0.1,900000,1,3,1,"Kevin O & Robert, Barbara",Barbara,Robert & Kevin O,90000,0.25,90000,0.25,360000,0.4,90000,0.25,360000,0.4,1,0,0,Website for notes exchange,1.5,,30000,,No patent effort,1,2,0,0,0,0,1,0,0,0,0.090000004,0.89999998,0.090000004,0.090000004,,0.029999999,,0.36000001,0.090000004,0.36000001,0.15000001,1,0,0,0.40000001,0.25,360000,0.36000001,0.090000004
1,8,8,36,2,0,150000,0.2,750000,1,3,2,"Barbara & Daymond, Robert",Barbara &Daymond,Robert,,,150000,0.6,250000,0.333333333,150000,0.6,250000,0.333333333,1,0,0,Treasure chest soft toys,,100000,,,No patent effort,,1,0,0,0,0,1,0,1,0,0.15000001,0.75,,0.15000001,0.1,,,0.25,0.15000001,0.25,0.40000001,1,0,0,0.33333334,0.60000002,250000,0.25,0.15000001
1,8,8,37,3,1,50000,0.25,200000,0,0,0,,,,,,,,,,,,,,0,0,0,3 socks,,38000,,80000,No patent effort,,1,0,0,0,0,0,0,0,0,0.050000001,0.2,,,0.037999999,,0.079999998,,,,,1,0,0,,,,,
1,8,8,38,4,0,500000,0.25,2000000,0,0,0,,,,,,,,,,,,,,0,0,0,Designer belts and buckles,,550000,438000,,No patent effort,,1,0,0,0,0,0,0,0,0,0.5,2,,,0.55000001,0.43799999,,,,,,1,0,0,,,,,
1,9,9,39,1,0,50000,0.1,500000,1,1,1,Barbara,Barbara,,,,50000,0.2,250000,0.5,50000,0.2,250000,0.5,1,0,0,Healthy soda,,175000,,,No patent effort,,1,0,0,0,0,0,0,0,0,0.050000001,0.5,,0.050000001,0.175,,,0.25,0.050000001,0.25,0.1,1,0,0,0.5,0.2,250000,0.25,0.050000001
1,9,9,40,2,0,300000,0.15,2000000,0,0,0,,,,,,,,,,,,,,0,0,0,Pet products,,,,,No patent effort,,2,3,1,0,0,0,0,0,0,0.30000001,2,,,,,,,,,,1,0,0,,,,,
1,9,9,41,3,0,1500000,0.1,15000000,0,0,0,,,,,,,,,,,,,,0,0,0,Virtual gaming,,,,,No patent effort,,2,0,0,0,0,0,0,0,0,1.5,15,,,,,,,,,,1,0,0,,,,,
1,9,9,42,4,0,250000,0.2,1250000,1,2,2,Barbara & Daymond,Barbara & Daymond,,,,250000,0.5,500000,0.4,250000,0.5,500000,0.4,1,0,0,Size 12 or larger clothes for women,,500000,,,No patent effort,1,1,0,1,1,0,1,0,1,0,0.25,1.25,,0.25,0.5,,,0.5,0.25,0.5,0.30000001,1,0,0,0.40000001,0.5,500000,0.5,0.25
1,10,10,43,1,0,75000,0.18,416666.6667,1,2,0,Kevin O & Robert,,Kevin O & Robert,100000,0.2,100000,0.2,500000,1.2,,,,,0,1,0,Wobble Dolls,60,1000000,,,No patent effort,,1,0,1,1,0,1,0,0,0,0.075000003,0.41666666,0.1,0.1,1,,,0.5,,,,1,0,0,1.2,0.2,500000,0.5,0.1
1,10,10,44,2,0,50000,0.25,200000,0,0,0,,,,,,,,,,,,,,0,0,0,Mp3 cover to keep headphones in place,24,35000,46000,,No patent effort,,2,0,0,0,0,0,0,0,1,0.050000001,0.2,,,0.035,0.046,,,,,,1,0,0,,,,,
1,10,10,45,3,0,25000,0.51,49019.60784,1,1,1,Kevin H,Kevin H,,,,25000,0.7,35714,0.7285656,25000,0.7,35714.28571,0.728571429,1,0,0,Golf club as urination device,,70000,,,Patent filed (any kind),,1,3,0,0,0,0,0.5,0,0,0.025,0.049019609,,0.025,0.07,,,0.035714,0.025,0.035714287,0.19,0,1,0,0.72857141,0.69999999,35714.285,0.035714284,0.025
1,10,10,46,4,0,150000,0.1,1500000,1,2,2,"Kevin O, Robert","Kevin O, Robert",,,,600000,0.5,1200000,0.8,600000,0.5,1200000,0.8,1,0,0,College coaching for athletes,3,150000,,35000000,Patent obtained,,2,4,0,0,0,1,1,0,0,0.15000001,1.5,,0.60000002,0.15000001,,35,1.2,0.60000002,1.2,0.40000001,0,0,1,0.80000001,0.5,1200000,1.2,0.60000002
1,11,11,47,1,0,300000,0.1,3000000,1,2,0,Robert & Kevin O,,Robert & Kevin O,300000,0.51,300000,0.51,588235,0.196078333,,,,,0,1,0,"Music, art and gym classes for kids ",60,1200000,4000000,,No patent effort,,2,0,0,1,0,1,0,0,1,0.30000001,3,0.30000001,0.30000001,1.2,4,,0.58823502,,,,1,0,0,0.19607833,0.50999999,588235,0.58823502,0.30000001
1,11,11,48,2,0,500000,0.2,2500000,1,1,1, Daymond, Daymond,,,,500000,0.5,1000000,0.4,500000,0.5,1000000,0.4,1,0,1,Helmets,,300000,,,Patent obtained,,2,4,0,0,0,0,1,0,1,0.5,2.5,,0.5,0.30000001,,,1,0.5,1,0.30000001,0,0,1,0.40000001,0.5,1000000,1,0.5
1,11,11,49,3,0,85000,0.4,212500,0,0,0,,,,,,,,,,,,,,0,0,0,Golf ball cleaner,,1000,,,No patent effort,,1,0,0,0,0,0,0,0,0,0.085000001,0.21250001,,,0.001,,,,,,,1,0,0,,,,,
1,11,11,50,4,0,50000,0.1,500000,1,1,1,Barbara,Barbara,,,,50000,0.35,142857,0.285714,50000,0.35,142857.1429,0.285714286,1,0,0,Chinese salad dressing,324,41000,,,No patent effort,,1,0,0,0,0,0,0,1,0,0.050000001,0.5,,0.050000001,0.041000001,,,0.142857,0.050000001,0.14285715,0.25,1,0,0,0.2857143,0.34999999,142857.14,0.14285713,0.050000001
1,11,11,51,5,0,150000,0.2,750000,0,0,0,,,,,,,,,,,,,,0,0,0,Ink flip,6,,10000,,No patent effort,,1,0,0,0,0,0,0,0,0,0.15000001,0.75,,,,0.01,,,,,,1,0,0,,,,,
1,12,12,52,1,1,30000,0.2,150000,0,0,0,,,,,,,,,,,,,,0,0,0,Environment friendly clothing,6,,3000,,No patent effort,,1,2,0,0,0,0,0,0,0,0.029999999,0.15000001,,,,0.003,,,,,,1,0,0,,,,,
1,12,12,53,2,0,250000,0.33,757575.7576,0,0,0,,,,,,,,,,,,,,0,0,0,Massage pillow with pockets ,24,21000,179940,,No patent effort,,2,0,0,0,0,0,0,0,1,0.25,0.75757575,,,0.021,0.17994,,,,,,1,0,0,,,,,
1,12,12,54,3,0,200000,0.3,666666.6667,0,0,0,,,,,,,,,,,,,,0,0,0,Shopping place for kids,42,13000,,,No patent effort,,2,0,0,0,0,0,0,0,1,0.2,0.66666669,,,0.013,,,,,,,1,0,0,,,,,
1,12,12,55,4,0,40000,0.4,100000,1,2,2,Robert & Barbara,Robert & Barbara,,,,40000,0.4,100000,1,40000,0.4,100000,1,1,0,0,Portable grease cleaning product,4,,7400,,No patent effort,,2,3,1,0,0,1,0,0,1,0.039999999,0.1,,0.039999999,,0.0074,,0.1,0.039999999,0.1,0,1,0,0,1,0.40000001,100000,0.1,0.039999999
1,13,13,56,1,0,105000,0.3,350000,1,3,3," Kevin H, Daymond, Barbara"," Kevin H, Daymond, Barbara",,,,105000,0.5,210000,0.6,105000,0.5,210000,0.6,1,0,0,Lipstick remix,,6000,,,No patent effort,,1,0,0,1,0,1,0,1,0,0.105,0.34999999,,0.105,0.006,,,0.20999999,0.105,0.20999999,0.2,1,0,0,0.60000002,0.5,210000,0.20999999,0.105
1,13,13,57,2,0,48000,0.25,192000,0,0,0,,,,,,,,,,,,,,0,0,0,Mobile ice cream business,,0,,,No patent effort,,1,0,0,1,0,0,0,0,0,0.048,0.192,,,0,,,,,,,1,0,0,,,,,
1,13,13,58,3,0,200000,0.25,800000,1,2,1,"Robert, Kevin H",Kevin H,Robert,200000,0.6,200000,0.6,333333,0.41666625,200000,0.5,400000,0.5,1,0,0,Decaf indicator,,,,,Patent obtained,,1,3,0,0,0,1,1,0,0,0.2,0.80000001,0.2,0.2,,,,0.33333299,0.2,0.40000001,0.25,0,0,1,0.5,0.5,400000,0.40000001,0.2
1,13,13,59,4,0,200000,0.15,1333333.333,0,0,0,,,,,,,,,,,,,,0,0,0,Legal counseling at coffee shop,156,200000,,,No patent effort,,2,3,1,0,0,0,0,0,1,0.2,1.3333334,,,0.2,,,,,,,1,0,0,,,,,
1,14,14,60,1,0,86000,0.2,430000,0,0,0,,,,,,,,,,,,,,0,0,0,Inflated ball in mail,,100000,,,No patent effort,,2,0,0,1,0,0,0,1,0,0.086000003,0.43000001,,,0.1,,,,,,,1,0,0,,,,,
1,14,14,61,2,0,90000,0.51,176470.5882,1,1,1,Daymond,Daymond,,,,90000,0.51,176471,1.000002333,90000,0.51,176470.5882,1,1,0,1,Toy- qubits,24,8000,,,Patent obtained,,1,3,0,0,0,0,1,0,0,0.090000004,0.17647059,,0.090000004,0.008,,,0.17647099,0.090000004,0.17647059,0,0,0,1,1,0.50999999,176470.59,0.17647059,0.090000004
1,14,14,62,3,0,150000,0.15,1000000,0,0,0,,,,,,,,,,,,,,0,0,0,Shoe theme party,,84000,,,No patent effort,,1,0,0,0,0,0,0,1,0,0.15000001,1,,,0.083999999,,,,,,,1,0,0,,,,,
1,14,14,63,4,0,125000,0.1,1250000,0,0,0,,,,,,,,,,,,,,0,0,0,Lama Brew fertilizer,,4000,,,Patent filed (any kind),,2,0,0,0,0,0,0.5,0,1,0.125,1.25,,,0.004,,,,,,,0,1,0,,,,,
1,14,14,64,5,0,200000,0.25,800000,1,2,2,"Kevin H, Daymond","Kevin H, Daymond",,,,200000,0.51,392157,0.49019625,200000,0.51,392156.8627,0.490196078,1,0,0,New umbrella,,100000,,,Patent obtained,,1,0,0,1,0,1,1,0,0,0.2,0.80000001,,0.2,0.1,,,0.39215699,0.2,0.39215687,0.25999999,0,0,1,0.49019608,0.50999999,392156.88,0.39215687,0.2
2,15,1,65,1,0,85000,0.1,850000,1,4,0,"Kevin O, Robert, Barbara & Daymond",,,100000,0.15,100000,0.4,250000,0.294117647,100000,0.4,250000,0.294117647,1,0,0,Magnetic collar stay,,,500000,1800000,No patent effort,,1,0,0,0,0,1,0,0,0,0.085000001,0.85000002,0.1,0.1,,0.5,1.8,0.25,0.1,0.25,0.30000001,1,0,0,0.29411766,0.40000001,250000,0.25,0.1
2,15,1,66,2,0,30000,0.05,600000,1,3,1,"Kevin O, Barbara, Mark",Mark,Kevin O,50000,0.51,100000,0.51,196078,0.326796667,100000,0.3,333333.3333,0.555555556,1,0,0,Dance for kids and house moms,,268000,,,No patent effort,,2,0,1,1,0,1,0,1,0,0.029999999,0.60000002,0.050000001,0.1,0.26800001,,,0.196078,0.1,0.33333334,0.25,1,0,0,0.55555558,0.30000001,333333.34,0.33333334,0.1
2,15,1,67,3,0,200000,0.25,800000,0,0,0,,,,,,,,,,,,,,0,0,0,Food -shrimp burger,,30000,,,No patent effort,,1,0,0,0,0,0,0,0,0,0.2,0.80000001,,,0.029999999,,,,,,,1,0,0,,,,,
2,15,1,68,4,0,600000,0.2,3000000,1,1,0,Kevin O,,,600000,0.51,600000,0.51,1176471,0.392157,,,,,0,1,1,Wine glass packaging,6,500000,,,Patent obtained,,1,0,0,0,0,0,1,0,0,0.60000002,3,0.60000002,0.60000002,0.5,,,1.176471,,,,0,0,1,0.39215699,0.50999999,1176471,1.176471,0.60000002
2,16,2,69,1,0,100000,0.1,1000000,1,3,2,"Kevin O ,Robert & Mark",Kevin O & Mark,Robert,200000,0.4,200000,0.4,500000,0.5,200000,0.35,571428.5714,0.571428571,1,0,0,Online toy rental,,,,,No patent effort,,1,0,0,1,0,1,0,1,0,0.1,1,0.2,0.2,,,,0.5,0.2,0.5714286,0.25,1,0,0,0.5714286,0.34999999,571428.56,0.57142854,0.2
2,16,2,70,2,1,40000,0.2,200000,0,0,0,,,,,,,,,,,,,,0,0,0,Wake up alarm with bacon,,,,,No patent effort,,1,3,0,0,0,0,0,0,0,0.039999999,0.2,,,,,,,,,,1,0,0,,,,,
2,16,2,71,3,0,500000,0.2,2500000,0,0,0,,,,,,,,,,,,,,0,0,0,Action sport -pogo stick,,2100000,,,No patent effort,,1,0,0,0,0,0,0,0,0,0.5,2.5,,,2.0999999,,,,,,,1,0,0,,,,,
2,16,2,72,4,0,500000,0.1,5000000,1,4,2,"Kevin O & Mark, Daymond, Robert",Kevin O & Mark,Robert,4000000,1,4000000,1,4000000,0.8,750000,0.3,2500000,0.5,1,0,0,Nasal screens,,1000000,,,Patent obtained,,1,0,0,0,0,1,1,0,0,0.5,5,4,4,1,,,4,0.75,2.5,0.2,0,0,1,0.5,0.30000001,2500000,2.5,0.75
2,17,3,73,1,0,90000,0.25,360000,1,2,1,"Kevin O, Robert",Robert,Kevin O,90000,0.33,90000,0.33,272727,0.757575,90000,0.33,272727.2727,0.757575758,1,0,0,Home furniture,36,34000,,,No patent effort,,1,0,0,1,0,1,0,1,0,0.090000004,0.36000001,0.090000004,0.090000004,0.034000002,,,0.27272701,0.090000004,0.27272728,0.079999998,1,0,0,0.75757575,0.33000001,272727.28,0.27272728,0.090000004
2,17,3,74,2,0,140000,0.15,933333.3333,0,0,0,,,,,,,,,,,,,,0,0,0,Fitness stride,,150000,,,Patent obtained,,1,0,0,0,0,0,1,0,0,0.14,0.93333334,,,0.15000001,,,,,,,0,0,1,,,,,
2,17,3,75,3,0,100000,0.2,500000,1,3,3,Daymond & Kevin O & Robert,Daymond & Kevin O & Robert,,,,100000,0.33,303030,0.60606,100000,0.33,303030.303,0.606060606,1,0,0,Bracelet and coins for kids,6,20000,,,Patent filed (any kind),,3,1,0,0,0,1,0.5,0,1,0.1,0.5,,0.1,0.02,,,0.30303001,0.1,0.30303031,0.13,0,1,0,0.60606062,0.33000001,303030.31,0.30303031,0.1
2,17,3,76,4,0,150000,0.1,1500000,1,3,0,Daymond & Kevin O & Robert,,Daymond & Kevin O & Robert,225000,1,225000,1,225000,0.15,,,,,0,1,1,Odor eliminator spray,,3200000,,,No patent effort,1,1,0,0,0,0,1,0,0,0,0.15000001,1.5,0.22499999,0.22499999,3.2,,,0.22499999,,,,1,0,0,0.15000001,1,225000,0.22499999,0.22499999
2,18,4,77,1,0,50000,0.25,200000,1,2,1,"Barbara, Kevin O",Barbara,Kevin O,50000,0.2,50000,0.25,200000,1,50000,0.25,200000,1,1,0,1,Ride on stroller for children,168,79980,,,Patent obtained,,2,0,0,0,0,1,1,0,1,0.050000001,0.2,0.050000001,0.050000001,0.079980001,,,0.2,0.050000001,0.2,0,0,0,1,1,0.25,200000,0.2,0.050000001
2,18,4,78,2,0,25000,0.2,125000,0,0,0,,,,,,,,,,,,,,0,0,0,Beef jerky,120,50000,,,No patent effort,,1,0,1,0,0,0,0,0,0,0.025,0.125,,,0.050000001,,,,,,,1,0,0,,,,,
2,18,4,79,3,0,50000,0.25,200000,1,3,3,Jeff & Robert & Daymond,Jeff & Robert & Daymond,,,,75000,1,75000,0.375,75000,1,75000,0.375,1,0,1,Clothing based on country theme,36,50000,271000,,No patent effort,,2,0,0,0,0,1,0,0,0,0.050000001,0.2,,0.075000003,0.050000001,0.271,,0.075000003,0.075000003,0.075000003,0.75,1,0,0,0.375,1,75000,0.075000003,0.075000003
